name addr size mode type
70B505460C460720 0x6ab90 8 THUMB_32 FUNC
hidd_mgmt_conn_closed 0xca718 26 THUMB_32 FUNC
avrc_bld_list_app_settings_values_rsp 0xccc10 90 THUMB_32 FUNC
00B50A46E1B0011D 0xdd7c0 8 THUMB_32 FUNC
10B50C460220FFF7 0x6ac3e 8 THUMB_32 FUNC
hciulp_HandleBrcmFilterAddr 0xbcca8 184 THUMB_32 FUNC
afhcc_configModem 0xbde94 92 THUMB_32 FUNC
70B50D4604461646 0xdd7da 8 THUMB_32 FUNC
10B504460220FFF7 0x6ac84 8 THUMB_32 FUNC
ulp_brcmFilterCheckLocName 0xaa366 170 THUMB_32 FUNC
le2m_program2MAdvMode 0xacd0c 72 THUMB_32 FUNC
00B5E1B00A466946 0xdd86a 8 THUMB_32 FUNC
10B504460120FFF7 0x6acca 8 THUMB_32 FUNC
hidd_connected_proc_evt 0xca732 76 THUMB_32 FUNC
avrc_bld_group_navigation_rsp 0xcd0c0 30 THUMB_32 FUNC
00B50A46E1B0011D 0xdd884 8 THUMB_32 FUNC
70B504460D460420 0x6ad0e 8 THUMB_32 FUNC
L2CA_FlowControl 0x31512 78 THUMB_32 FUNC
CheckForVSEvent 0x9388e 60 THUMB_32 FUNC
L2CA_SendTestSFrame 0x31560 62 THUMB_32 FUNC
sdpu_get_list_len 0xac94 56 THUMB_32 FUNC
L2CA_GetCurrentConfig 0x316c4 106 THUMB_32 FUNC
_ape_transactionDone 0xae390 90 THUMB_32 FUNC
SBC_com_crc 0x93b1c 196 THUMB_32 FUNC
sdpu_get_rec_handle 0xad16 106 THUMB_32 FUNC
L2CA_SetIdleTimeout 0x31834 52 THUMB_32 FUNC
SBC_FastDCT4 0x93be8 112 THUMB_32 FUNC
lm_HandleLmpResumeEncryptionReqBBAcked 0xae7f4 60 THUMB_32 FUNC
_config_VS_headerChecksum 0xaed4 26 THUMB_32 FUNC
_config_VS_SetEEPROMEntryUse 0xaf3a 58 THUMB_32 FUNC
SBC_FastDCT8 0x93c58 378 THUMB_32 FUNC
L2CA_SetIdleTimeoutByBdAddr 0x31868 110 THUMB_32 FUNC
lm_HandleHciSetConnEncryption 0xaf32c 106 THUMB_32 FUNC
_config_VS_GetNextItem 0xb312 122 THUMB_32 FUNC
_ape_action_procSres 0xaf6dc 262 THUMB_32 FUNC
SBC_FastIDCT8 0x93dfc 368 THUMB_32 FUNC
L2CA_GetFixedCidIdx 0x3195c 66 THUMB_32 FUNC
SBC_FastIDCT4 0x93f6c 126 THUMB_32 FUNC
_config_VS_AddItemPrepAddHoleInfo 0xb872 64 THUMB_32 FUNC
L2CA_SendFixedChnlData 0x31ab2 212 THUMB_32 FUNC
port_find_port_cb 0x31d40 42 THUMB_32 FUNC
SBC_BEC_2 0x93fec 616 THUMB_32 FUNC
port_find_verify_port_cb 0x31d6a 36 THUMB_32 FUNC
_config_VS_AddItemPrepUtility 0xba46 112 THUMB_32 FUNC
_ape_action_procUnitKey 0xafbda 74 THUMB_32 FUNC
mpaf_cfa_ConfigVSReadLongItem 0xc27e 124 THUMB_32 FUNC
mpaf_cfa_ConfigVSWriteLongItem 0xc2fa 108 THUMB_32 FUNC
rtc_getRTCRawClock 0xd3f0 66 THUMB_32 FUNC
bthci_cmd_CheckIfCommandShouldBeLoopedBack 0xe2c2 84 THUMB_32 FUNC
lm_HandleLmpTempRandPdu 0xafd70 42 THUMB_32 FUNC
btuarth4_Detect 0xe604 78 THUMB_32 FUNC
boot_check_nvram_presence 0x94264 46 THUMB_32 FUNC
h4_IsPmuPauseAllowed 0xf4b8 34 THUMB_32 FUNC
port_select_mtu 0x31d8e 156 THUMB_32 FUNC
port_find_mcb_dlci_port 0x31f50 46 THUMB_32 FUNC
mpaf_transProcOut 0x943d0 54 THUMB_32 FUNC
_ape_action_StartEncryptKeySizeReq 0xafe6e 64 THUMB_32 FUNC
port_get_signal_changes 0x32088 70 THUMB_32 FUNC
port_flow_control_peer 0x320ce 222 THUMB_32 FUNC
mpaf_buildTransHdr 0x94488 38 THUMB_32 FUNC
bb_progMasterPiconetInfo 0xfc36 24 THUMB_32 FUNC
lm_HandleLmpInRandAcceptedPdu 0xb030a 48 THUMB_32 FUNC
lm_HandleLmpInRandNotAcceptedPdu 0xb033a 138 THUMB_32 FUNC
mpaf_transAdapterOutHndlr 0x94514 44 THUMB_32 FUNC
RFCOMM_ParNegReq 0x3221e 108 THUMB_32 FUNC
lm_HandleLmpAuRandNotAcceptedPdu 0xb03c4 186 THUMB_32 FUNC
